,BTC,long,short,mix,short_if_neg_day,mix2
2022-01-19,3.0347451868586948,2.076640026296765,0.5001697110545182,2.2763514864048253,1.334904366597802,2.877582646255447
2022-01-20,2.96211297282652,2.022225156840159,0.5399280964470907,2.2378399711052483,1.334904366597802,2.8231677767988406
2022-01-21,2.896114620011284,1.9742859280248397,0.5408754807067128,2.190279695993778,1.3358517508574241,2.7757969785392946
2022-01-22,2.866872247389689,2.005197467555339,0.5453465607015195,2.2229796675221998,1.340322830852231,2.809391166066678
2022-01-23,2.864200859605438,2.049063903600567,0.5785490110778939,2.2801270837179777,1.3735252812286054,2.873179072337731
2022-01-24,2.8877303584576337,2.0763723862830283,0.5885793367843843,2.311447696683035,1.3798059544262697,2.9042559589387906
2022-01-25,2.938904753124005,2.074011509983744,0.5892262524770076,2.3093455866608004,1.3798059544262697,2.9018950826395065
2022-01-26,2.9143090494764796,2.050552188179762,0.6033254457253343,2.2915259421561487,1.3798059544262697,2.878435760835524
2022-01-27,2.9502779118452556,2.0564232606166377,0.5933786292237699,2.2934182879923983,1.3798059544262697,2.8843068332723996
2022-01-28,2.96616263317086,2.0831140386926554,0.592195254040958,2.3196357159952914,1.3786225792434579,2.9102875862387303
2022-01-29,2.973713975289366,2.0799238241150286,0.5870753279945015,2.3143975309990816,1.3786225792434579,2.9070973716611035
2022-01-30,2.942554411593599,2.094015801792725,0.6180880616701757,2.340894602147048,1.4096353129191321,2.939796989544204
2022-01-31,2.9870914886648845,2.095422755732873,0.6093080014662787,2.338789532005637,1.4096353129191321,2.941203943484352
2022-02-01,2.9836319200229604,2.1063034550609427,0.6120370619093898,2.3507618555109513,1.412364373362243,2.9537220790782883
2022-02-02,2.94416512579527,2.0943150331789835,0.6144402005015773,2.339734689065867,1.4147675119544307,2.9431755403516418
2022-02-03,2.9545252228934076,2.1064694403390383,0.6061197169051894,2.3485609027873666,1.4064470283580428,2.950337657353864
2022-02-04,3.066516448270091,2.1108287457041053,0.5772232865051471,2.3413616359924165,1.4064470283580428,2.954696962718931
2022-02-05,3.0683970509793843,2.114687570771508,0.5756961827233213,2.344609619547089,1.4048483823041207,2.95759660015398
2022-02-06,3.0990233284082236,2.1266910834237462,0.5378238640899048,2.341464204745961,1.4048483823041207,2.969600112806219
2022-02-07,3.135138326330716,2.1285589425578135,0.5130725221881224,2.333431527119315,1.4048483823041207,2.9714679719402857
2022-02-08,3.114658420321025,2.1808374252047433,0.5378308789190499,2.395613352458616,1.4296067390350482,3.0386014686257723
2022-02-09,3.122281053163634,2.1686245255272985,0.5535764452186022,2.389698679300992,1.4296067390350482,3.0263885689483274
2022-02-10,3.1064392252382755,2.150383113974265,0.5660511582213704,2.3764471529490656,1.4372972178692653,3.012761444695824
2022-02-11,3.087779219190623,2.1310463320736535,0.5600439380447298,2.354707482977798,1.4312899976926248,2.9898203306892284
2022-02-12,3.085835832793712,2.1143999642048734,0.5570399267088554,2.3368595105746683,1.4312899976926248,2.9731739628204483
2022-02-13,3.0800824628595125,2.119576610372784,0.5716066318799475,2.347862838811016,1.445856702863717,2.9870906320910144
2022-02-14,3.1159939933128924,2.141229892465908,0.5483679061906573,2.3602206306284232,1.4336754176788566,3.001435143073222
2022-02-15,3.125765340341678,2.1514930133962693,0.5499793256997495,2.3711283193624215,1.4336754176788566,3.0116982640035834
2022-02-16,3.119432765811587,2.1522176303896154,0.5593494919886941,2.3756010028713455,1.4336754176788566,3.0124228809969296
2022-02-17,3.0483006143762785,2.1445240371059544,0.5518339525272761,2.3649011938031173,1.4261598782174385,3.0002199640364173
2022-02-18,3.0408790899561136,2.1485059136079254,0.5502626376513162,2.3682545443547047,1.4245885633414788,3.0032590516128126
2022-02-19,3.0244185652992712,2.1501277853475997,0.5686580098636592,2.377234564979316,1.42730973084541,3.0065136238548456
2022-02-20,3.0180085568670445,2.148550922413594,0.5551005617452722,2.3702347227979557,1.4137522827270228,2.9968022920498076
2022-02-21,2.9498285142023506,2.117835389832032,0.5814008178625706,2.350039292663313,1.4400525388443213,2.981866913138625
2022-02-22,2.987657059570252,2.1312932554138357,0.5889419044432843,2.366513592877402,1.4400525388443213,2.9953247787204282
2022-02-23,2.9106858691000146,2.115222563078243,0.6471238219844139,2.373715667558261,1.4982344563854508,3.0141632369095133
2022-02-24,3.0145666305250813,2.1421530952683825,0.6375064750009592,2.3967992609550186,1.4982344563854508,3.041093769099653
2022-02-25,3.0309679731269155,2.1742748839072092,0.6250388136979835,2.4239339850726553,1.4982344563854508,3.0732155577384797
2022-02-26,3.0103987822451086,2.163859726046672,0.6377041413170261,2.418584958259735,1.5108997840044935,3.070399596449368
2022-02-27,2.991431215577802,2.137529319654735,0.6307649544689636,2.389478877128573,1.5075920899143447,3.0420845736033417
2022-02-28,3.137401080897534,2.177315824475025,0.6379646150710531,2.4321452461896986,1.5075920899143447,3.0818710784236316
2022-03-01,3.158452966777857,2.176341240428273,0.6458384235868418,2.4343201855492627,1.5075920899143447,3.08089649437688
2022-03-02,3.1400727117775262,2.187503216960348,0.6519268619246582,2.4479175374164637,1.513680528252161,3.0957115339116443
2022-03-03,3.092754483987069,2.1951598086967765,0.6813560901800837,2.4673458204550625,1.5431097565075866,3.1210256626013284
2022-03-04,3.0317667940432096,2.177465505092281,0.6732219523316391,2.4463978617111892,1.534975618659142,3.098450876287766
2022-03-05,3.047507605319213,2.176413233330246,0.6777263639832687,2.447147354609806,1.534975618659142,3.097398604525731
2022-03-06,3.008545105366719,2.1529576554324645,0.6865879856806788,2.427236425390989,1.543837240356552,3.079259999646396
2022-03-07,3.024886182577531,2.1581407378570288,0.6822695305795762,2.4306921257751117,1.5397188500316272,3.0819720478760053
2022-03-08,3.105030151449126,2.1595370416289534,0.6533463020786786,2.4205191381466773,1.5299830998393662,3.0775269015325732
2022-03-09,3.054623266648497,2.1647811309400318,0.6706697616314546,2.432692611278866,1.5299830998393662,3.0827709908436516
2022-03-10,3.027903914933565,2.171433464489797,0.6867040672528498,2.445758667077189,1.5460174054607614,3.0990439077662537
2022-03-11,3.044114753011495,2.201986809189907,0.6640419238368119,2.467247154410884,1.5274630080943297,3.1184646140465047
2022-03-12,3.04465275048976,2.201899187340341,0.659820811846987,2.4654710877653887,1.5232418961045049,3.115844325003044
2022-03-13,3.0194803912465074,2.1960236504686192,0.6787903597173472,2.467183370041811,1.542211443974865,3.1213505168535383
2022-03-14,3.0358486016572503,2.2133320270792454,0.6839119385415887,2.4865403781821334,1.5465492277611395,3.141261563735929
2022-03-15,3.0459493512108176,2.2213904272328615,0.6590761769441454,2.4846644736967725,1.5465492277611395,3.1493199638895453
2022-03-16,3.0696305309860983,2.2387335625614395,0.6583860983849501,2.501731577601672,1.5465492277611395,3.1666630992181233
2022-03-17,3.0576219126147874,2.2431199818524368,0.6692087099882729,2.5104470415339986,1.5573718393644622,3.177543085471114
2022-03-18,3.0889990497776947,2.246751545732461,0.6689432554085274,2.513972423582125,1.5573718393644622,3.1811746493511386
2022-03-19,3.0925483927998996,2.240358175236048,0.6667524592799815,2.506702734634293,1.5573718393644622,3.1747812788547254
2022-03-20,3.066105679900488,2.243100414881997,0.6692935109697015,2.5104613949561303,1.5599128910541822,3.179048149514506
2022-03-21,3.1004781826819445,2.2497377643343204,0.6533952066618295,2.510739422685305,1.5599128910541822,3.1856854989668295
2022-03-22,3.0966300855639575,2.254196397605869,0.6570379530113883,2.516655154496677,1.5626906159654044,3.1918107671851117
2022-03-23,3.1118162115094066,2.260048311896439,0.6528950855212657,2.520849921791198,1.5626906159654044,3.197662681475682
2022-03-24,3.1412054798961955,2.26474498989567,0.6563884819149159,2.526943958347889,1.5626906159654044,3.202359359474913
2022-03-25,3.150891350379321,2.2633189764516444,0.656023417018898,2.5253719189454564,1.5623556504025435,3.2007323666931704
2022-03-26,3.158076323857743,2.2666669546817544,0.6488204430679018,2.525838707595168,1.558839909065171,3.2019709001208567
2022-03-27,3.210329348201217,2.297061571468064,0.6416452286164873,2.5533632386009115,1.558839909065171,3.232365516907166
2022-03-28,3.216400839017253,2.2976289923929456,0.6527349969859827,2.5583665668735915,1.558839909065171,3.232932937832048
2022-03-29,3.2185218884043247,2.2879222601941795,0.6522789739097153,2.5484774254443185,1.5576041477324887,3.2224847488336725
2022-03-30,3.211356152054346,2.276404748728967,0.6436665933087743,2.53351496173873,1.5576041477324887,3.2109672373684606
2022-03-31,3.1583666445531065,2.2778375300999585,0.659390960167644,2.541237489853269,1.5733285145913585,3.2218346388547734
2022-04-01,3.2032085929127248,2.278515654815718,0.6501167709085901,2.538205938865407,1.5733285145913585,3.222512763570533
2022-04-02,3.189116940843719,2.282339679418926,0.6566951082449732,2.544661298403168,1.5799068519277415,3.230283790575571
2022-04-03,3.190470131714371,2.30058808104086,0.6815813846730254,2.572864210596323,1.5799068519277415,3.248532192197505
2022-04-04,3.2043902276682616,2.3198018997296384,0.6755025710033707,2.5896465038172396,1.5738280382580867,3.26409872268449
2022-04-05,3.1737347542851104,2.3169228428890105,0.6876355151780138,2.5916206246464686,1.5859609824327299,3.2684994323486483
2022-04-06,3.1312311029130706,2.3230613213751483,0.6982807990515646,2.602017216682027,1.5966062663062806,3.2810250811589166
2022-04-07,3.138435558768889,2.322429851649428,0.6943458755895111,2.5998117775714853,1.5966062663062806,3.280393611433196
