index,BTC-nextTop10Top20x30x60,BTC-nextTop10Top20x30x60**,timestamp
2018-04-26,-0.043734447489519684,-0.15346316738769472,2023-12-26 15:44:01
2018-04-27,-0.04802289306397273,-0.15775161296214776,2023-12-26 15:44:01
2018-04-28,-0.05275252408231229,-0.16248124398048733,2023-12-26 15:44:01
2018-04-29,-0.05773618992741664,-0.17244857567069602,2023-12-26 15:44:01
2018-04-30,-0.05358374527947479,-0.17244857567069602,2023-12-26 15:44:01
2018-05-01,-0.06457134955234439,-0.17244857567069602,2023-12-26 15:44:01
2018-05-02,-0.06457134955234439,-0.17244857567069602,2023-12-26 15:44:01
2018-05-03,-0.06457134955234439,-0.17244857567069602,2023-12-26 15:44:01
2018-05-04,-0.06457134955234439,-0.17244857567069602,2023-12-26 15:44:01
2018-05-05,-0.06631259222517116,-0.17244857567069602,2023-12-26 15:44:01
2018-05-06,-0.06930662289704415,-0.17244857567069602,2023-12-26 15:44:01
2018-05-07,-0.07114205537187751,-0.17244857567069602,2023-12-26 15:44:01
2018-05-08,-0.07258595652483948,-0.17244857567069602,2023-12-26 15:44:01
2018-05-09,-0.06650012746123524,-0.1646996762912413,2023-12-26 15:44:01
2018-05-10,-0.06210096529391543,-0.16131462170476193,2023-12-26 15:44:01
2018-05-11,-0.07006541764096885,-0.1635437535686382,2023-12-26 15:44:01
2018-05-12,-0.07913098408093189,-0.16723041262308258,2023-12-26 15:44:01
2018-05-13,-0.07955171674909634,-0.16807187795941148,2023-12-26 15:44:01
2018-05-14,-0.07825291636325188,-0.16547427718772256,2023-12-26 15:44:01
2018-05-15,-0.07825291636325188,-0.16547427718772256,2023-12-26 15:44:01
2018-05-16,-0.08032036072262716,-0.16547427718772256,2023-12-26 15:44:01
2018-05-17,-0.0804642600215753,-0.16547427718772256,2023-12-26 15:44:01
2018-05-18,-0.08190168579072782,-0.16547427718772256,2023-12-26 15:44:01
2018-05-19,-0.07770969820487492,-0.16547427718772256,2023-12-26 15:44:01
2018-05-20,-0.07698645365125564,-0.16547427718772256,2023-12-26 15:44:01
2018-05-21,-0.07473212618275196,-0.16547427718772256,2023-12-26 15:44:01
2018-05-22,-0.07197372277795577,-0.16547427718772256,2023-12-26 15:44:01
2018-05-23,-0.07589460159392394,-0.16547427718772256,2023-12-26 15:44:01
2018-05-24,-0.08852561249012733,-0.16547427718772256,2023-12-26 15:44:01
2018-05-25,-0.08423670384053744,-0.16547427718772256,2023-12-26 15:44:01
2018-05-26,-0.08866043760344292,-0.16547427718772256,2023-12-26 15:44:01
2018-05-27,-0.08453724264949933,-0.16547427718772256,2023-12-26 15:44:01
2018-05-28,-0.06449409010003956,-0.16547427718772256,2023-12-26 15:44:01
2018-05-29,-0.0835869075302326,-0.17994402273993793,2023-12-26 15:44:01
2018-05-30,-0.08477733710775268,-0.181134452317458,2023-12-26 15:44:01
2018-05-31,-0.08988377520929766,-0.18287788983096315,2023-12-26 15:44:01
2018-06-01,-0.09299448980432021,-0.18380888841902493,2023-12-26 15:44:01
2018-06-02,-0.10332360894001338,-0.18380888841902493,2023-12-26 15:44:01
2018-06-03,-0.10737282053399042,-0.18380888841902493,2023-12-26 15:44:01
2018-06-04,-0.10203799626978585,-0.18380888841902493,2023-12-26 15:44:01
2018-06-05,-0.10445191221152875,-0.18380888841902493,2023-12-26 15:44:01
2018-06-06,-0.09936401214118074,-0.18380888841902493,2023-12-26 15:44:01
2018-06-07,-0.09687206284295641,-0.18380888841902493,2023-12-26 15:44:01
2018-06-08,-0.0950071369275203,-0.18380888841902493,2023-12-26 15:44:01
2018-06-09,-0.09432768846680778,-0.1835785567741317,2023-12-26 15:44:01
2018-06-10,-0.09226716680004002,-0.1821551531951262,2023-12-26 15:44:01
2018-06-11,-0.088832669903428,-0.1787206562985142,2023-12-26 15:44:01
2018-06-12,-0.07749118133739291,-0.16831104673496589,2023-12-26 15:44:01
2018-06-13,-0.07802313600006938,-0.1674290666958717,2023-12-26 15:44:01
2018-06-14,-0.08672044305416449,-0.17464499585289645,2023-12-26 15:44:01
2018-06-15,-0.08217959806393757,-0.17269707530284337,2023-12-26 15:44:01
2018-06-16,-0.07896746284563397,-0.17156903778800112,2023-12-26 15:44:01
2018-06-17,-0.07959076653192007,-0.17152618611066836,2023-12-26 15:44:01
2018-06-18,-0.06256182825489873,-0.15449724783364702,2023-12-26 15:44:01
