,Bitcoin,avg,top,+SL,TopvBot,mozaic,crypto_on,btcXalt,1+2,1+3,1+2+3
2019-02-22,0.2829481012687928,0.11438375426727064,0.3702909181357618,0.45184777710379104,1.4803264114314598,0.6717274879691945,1.0297609936661942,1.174355909535886,0.5733486806845012,0.7444877376350545,0.6463070101676847
2019-02-23,0.2926257198978443,0.12048226044283153,0.3942329472097705,0.4810630564601128,1.5577740925949506,0.7123967077774619,1.0319570731559722,1.167980266305354,0.6066316667487693,0.7875412377643569,0.6802897550932371
2019-02-24,0.2691664113115807,0.10867776838463485,0.3665999286560388,0.4473438443578225,1.4883225543955496,0.6685201759459277,1.0245534628251851,1.177764969621052,0.5700492841920626,0.7423353484115238,0.6439250341658284
2019-02-25,0.2742714377896382,0.11173703377755975,0.36618500022210637,0.44683752761780254,1.4242522939773357,0.6584227810121973,1.0140183616239202,1.16875694179176,0.5604043063452316,0.7282841997386487,0.6313001563627328
2019-02-26,0.2722696309655661,0.11062667418284666,0.357167496906681,0.43583391227499485,1.3808063139206965,0.6409185032648494,1.0174084544240523,1.169073614088855,0.5467191774631655,0.7090213082584593,0.6167998769572831
2019-02-27,0.2720357758340602,0.10989547472277277,0.3541827566425166,0.43219178067645425,1.3720773918446736,0.635997316368952,1.0087995348180971,1.178065324891211,0.5415746472540832,0.7063038575365985,0.613367499975367
2019-02-28,0.2722998286304088,0.11764661387356255,0.3979515957913581,0.48560074024636324,1.5458880275411073,0.7152491480630067,1.0077659669441643,1.180996224861203,0.6055474320499536,0.7951952141691243,0.682685820452905
2019-03-01,0.2726387806034633,0.11807632337286415,0.40538227788717296,0.49466803577784013,1.5681158604984065,0.7275808385487037,0.9972612695013853,1.167036145747615,0.6138877091421544,0.8042054230765078,0.6878686317147438
2019-03-02,0.2729800607802604,0.11659013132984655,0.4021690677953054,0.49074711369666313,1.5680501315539805,0.7237259560008312,1.0013017412282512,1.174052981742431,0.6114196251849966,0.8023622199991617,0.6871464604369679
2019-03-03,0.2717622895010645,0.11643372097940236,0.40056739137182484,0.488916173735754,1.5688686384080315,0.721991057490483,0.9954184290630925,1.1742875492809313,0.6091291047369899,0.8005189696897074,0.684716389328094
2019-03-04,0.2657142370314233,0.11230155495563336,0.38955311855675473,0.4754400084364277,1.5354650123438685,0.7036160092222081,0.9965164778311562,1.1724006626886612,0.5945695675527269,0.779502194138511,0.668726365866903
2019-03-05,0.2752376940807897,0.12043396363926186,0.4242643503755891,0.5160657784583631,1.5984019875789464,0.7541691571257358,0.9918489789620262,1.1511318110230422,0.6344558518485839,0.8284370003699021,0.7057258874529043
2019-03-06,0.275772266906106,0.12227764142898753,0.43340005845256013,0.5275037065617846,1.6391296501354424,0.7715595426600363,0.9938190297634817,1.1493661061957763,0.648669318122343,0.8469045640898545,0.7202351955065609
2019-03-07,0.2763050116603352,0.12393391114592946,0.4440144627093835,0.5404228040081741,1.6693066614361451,0.7888919598382028,0.9869257237876753,1.1478410480389283,0.6613877015501299,0.8653676762779084,0.7331177437504426
2019-03-08,0.2755736969957697,0.12164784619627116,0.436318254429405,0.5310555270201289,1.6598951300013451,0.7782933373181662,0.9693788642621398,1.1516150792943964,0.6500066028029485,0.8551642542036383,0.7220794871910733
2019-03-09,0.2799662068987413,0.12519553717733814,0.4401895259584252,0.5357673632112834,1.64345196114018,0.7803270240649579,0.9705908275245151,1.1476209814020375,0.6518233188997274,0.8559158402597692,0.7228763402279778
2019-03-10,0.2791387460425721,0.12555397859351644,0.4371422509675519,0.5320584369634697,1.6217895989255642,0.7732972400950578,0.97390433713591,1.1409158279620575,0.6468011175278131,0.8457046838206927,0.7157317144702193
2019-03-11,0.2758630151142169,0.12381136905634317,0.4350308062828324,0.5294885367623334,1.6366031318329002,0.7731616161222776,0.9777435847713769,1.1359702737651804,0.6473307927650954,0.8437234129246977,0.7149279899540738
2019-03-12,0.2761405542463205,0.12549543543533534,0.443590064102304,0.5399062562276006,1.6361660288674411,0.7832341191183674,0.9804752484950109,1.1259851489397275,0.655794486385317,0.851007028119217,0.7209819254867731
2019-03-13,0.2759682671693483,0.12543765771747814,0.445489175396528,0.5422177193373504,1.6413932773047701,0.7863036857741289,0.9775675882509455,1.1276843348560477,0.6577498996124722,0.8549843159381627,0.7234800356276385
2019-03-14,0.2772151841102141,0.12687996345365274,0.443814740940522,0.5401797168850858,1.615228053887038,0.7801552767815894,0.9764134541433296,1.1159251329239808,0.6526697238102088,0.8438410886837244,0.7147801284196292
2019-03-15,0.279796489468863,0.12901260134457984,0.4467815763083986,0.5437907377485841,1.600699171791805,0.781292940850662,0.9767287170195925,1.1111507736236548,0.6536265769987403,0.8432664835376739,0.7143997750582495
2019-03-16,0.285999669291594,0.13212138122102016,0.4504723267374858,0.5482828565043804,1.5965584308527991,0.7849219593624557,0.9823370698499736,1.1108820864983318,0.6574490753999677,0.8470814071966217,0.7183340311613574
2019-03-17,0.2843398669743724,0.12947185533060976,0.4451086882675988,0.5417546174828518,1.581548881513364,0.7762316727561787,0.9840215253452285,1.1108820864983318,0.6508158959561674,0.8377029204316874,0.7114842199454688
2019-03-18,0.2848540033446124,0.12836297986758666,0.4459062625184375,0.5427253680985251,1.589545272143989,0.7784671626182493,0.9815583240985212,1.1099108291236917,0.652189202213059,0.8397492361489912,0.7126031665752669
2019-03-19,0.28758653847082594,0.13074360628574355,0.4557572892125406,0.55471533670428,1.623829321266172,0.795529283456697,0.978939418653608,1.1044472467183066,0.6653338662672946,0.8560876617516682,0.7246060091586936
2019-03-20,0.28873698154696886,0.13247290878915566,0.4635590820076739,0.5642111236498425,1.6524974741155012,0.8092896253864005,0.9795998089156202,1.1041596621001017,0.6763789974659651,0.8707840300222319,0.7359235262579659
2019-03-21,0.2846293403064026,0.13148027847580074,0.4773796734813946,0.5810325639959605,1.7109841915150001,0.8349228224195923,0.9881968390163895,1.1036567252457707,0.6982152380778355,0.8981666644378306,0.7583657896673608
2019-03-22,0.2842508088697194,0.13175836420561446,0.47380710419901306,0.5766842869211173,1.6965966122145961,0.8284170030563657,0.9843813494831251,1.0944340922311466,0.6923727264452777,0.8874153068394809,0.7494636606614756
2019-03-23,0.2850884620844962,0.13289521143895824,0.478195017981493,0.5820249432943443,1.6922747283420552,0.8328282013321248,0.9867959898755307,1.0865021619401636,0.6962997591975493,0.8889248833700469,0.7510706773713522
2019-03-24,0.28412365445345167,0.13348852624470475,0.478732713975101,0.582679388590555,1.6974676470635381,0.834304377986963,0.9878763466906336,1.0867314672171358,0.6976628114146387,0.890594294017988,0.7525457148546456
2019-03-25,0.2799490299289051,0.13038436204238685,0.4674314872349456,0.5689243396978246,1.6724144343797782,0.8170698005798422,0.9811105411672464,1.0880099297908157,0.682776947249299,0.8727207726180256,0.7376645025672692
2019-03-26,0.2815038216343466,0.12992136418547445,0.4706238410588071,0.5728098455760572,1.681907311186165,0.8223358920824515,0.9782148195796649,1.0907455737378347,0.6864536811566583,0.8794427050711635,0.742233726429953
