,,,,total,total,total,fatal,fatal,fatal
vax_name,,,,astra,moderna,pfizer,astra,moderna,pfizer
name0,name1,reaction name,level,,,,,,
Cardiac disorders,Cardiac conduction disorders,Sinoatrial block,3,,1.0,,,0.0,
Cardiac disorders,Cardiac conduction disorders,Trifascicular block,3,2.0,,1.0,0.0,,0.0
Cardiac disorders,Cardiac disorders Cardiac disorders cont'd,Cardiac tamponade,3,,,2.0,,,1.0
Cardiac disorders,Cardiac disorders Cardiac disorders cont'd,Myocardial injury,3,,2.0,,,0.0,
Cardiac disorders,Cardiac disorders Cardiac disorders cont'd,Myocardial oedema,3,,2.0,,,0.0,
Cardiac disorders,Cardiac disorders Cardiac disorders cont'd,Pericardial effusion,3,,,55.0,,,2.0
Cardiac disorders,Cardiac disorders Cardiac disorders cont'd,Pericardial fibrosis,3,,,1.0,,,0.0
Cardiac disorders,Cardiac disorders Cardiac disorders cont'd,Pericardial haemorrhage,3,,,4.0,,,3.0
Cardiac disorders,Cardiac disorders Cardiac disorders cont'd,Pericardial rub,3,,,2.0,,,0.0
Cardiac disorders,Cardiac disorders NEC,Acute cardiac event,3,4.0,,7.0,2.0,,0.0
Cardiac disorders,Cardiac disorders NEC,Atrial thrombosis,3,5.0,,1.0,0.0,,0.0
Cardiac disorders,Cardiac disorders NEC,Cardiac disorder,3,114.0,22.0,114.0,3.0,0.0,3.0
Cardiac disorders,Cardiac disorders NEC,Cardiac dysfunction,3,2.0,3.0,2.0,0.0,0.0,0.0
Cardiac disorders,Cardiac disorders NEC,Cardiac ventricular thrombosis,3,15.0,1.0,2.0,2.0,0.0,0.0
Cardiac disorders,Cardiac disorders NEC,Cardiovascular deconditioning,3,,,1.0,,,0.0
Cardiac disorders,Cardiac disorders NEC,Cardiovascular disorder,3,10.0,,10.0,0.0,,0.0
Cardiac disorders,Cardiac disorders NEC,Cardiovascular insufficiency,3,10.0,,,0.0,,
Cardiac disorders,Cardiac disorders NEC,Intracardiac thrombus,3,21.0,,8.0,3.0,,1.0
Cardiac disorders,Cardiac disordersCardiac disorders cont'd,Autoimmune pericarditis,3,1.0,,,0.0,,
Cardiac disorders,Cardiac disordersCardiac disorders cont'd,Cardiac failure acute,3,14.0,,,5.0,,
Cardiac disorders,Cardiac disordersCardiac disorders cont'd,Cardiac failure chronic,3,4.0,,,1.0,,
Cardiac disorders,Cardiac disordersCardiac disorders cont'd,Cardiac failure congestive,3,9.0,,,4.0,,
Cardiac disorders,Cardiac disordersCardiac disorders cont'd,Cardiogenic shock,3,11.0,,,2.0,,
Cardiac disorders,Cardiac disordersCardiac disorders cont'd,Cardiopulmonary failure,3,3.0,,,2.0,,
Cardiac disorders,Cardiac disordersCardiac disorders cont'd,Pericarditis,3,225.0,,,0.0,,
Cardiac disorders,Cardiac disordersCardiac disorders cont'd,Ventricular failure,3,1.0,,,0.0,,
Cardiac disorders,Cardiac hypertensive complications,Hypertensive heart disease,3,2.0,,3.0,0.0,,2.0
Cardiac disorders,Cardiac infections and inflammations NEC,Carditis,3,3.0,3.0,10.0,0.0,0.0,0.0
Cardiac disorders,Cardiac neoplasms NEC,Pericardial cyst,3,,,1.0,,,0.0
Cardiac disorders,Cardiac signs and symptoms NEC,Cardiac discomfort,3,20.0,8.0,41.0,0.0,0.0,0.0
Cardiac disorders,Cardiac signs and symptoms NEC,Cardiovascular symptom,3,3.0,,4.0,0.0,,0.0
Cardiac disorders,Cardiac signs and symptoms NEC,Palpitations,3,6075.0,2043.0,6492.0,0.0,0.0,1.0
Cardiac disorders,Cardiac valve disorders NEC,Cardiac valve disease,3,4.0,,5.0,1.0,,0.0
Cardiac disorders,Cardiac valve disorders NEC,Heart valve incompetence,3,4.0,,3.0,0.0,,0.0
