,,,,total,total,total,fatal,fatal,fatal
vax_name,,,,astra,moderna,pfizer,astra,moderna,pfizer
name0,name1,reaction name,level,,,,,,
Investigations,Respiratory and pulmonary function diagnostic procedures,Forced expiratory volume,3,2.0,1.0,1.0,0.0,0.0,0.0
Investigations,Respiratory and pulmonary function diagnostic procedures,Forced expiratory volume decreased,3,1.0,1.0,,0.0,0.0,
Investigations,Respiratory and pulmonary function diagnostic procedures,Forced expiratory volume increased,3,14.0,3.0,3.0,0.0,0.0,0.0
Investigations,Respiratory and pulmonary function diagnostic procedures,Forced expiratory volume normal,3,1.0,,,0.0,,
Investigations,Respiratory and pulmonary function diagnostic procedures,Forced vital capacity decreased,3,2.0,,,0.0,,
Investigations,Respiratory and pulmonary function diagnostic procedures,Fractional exhaled nitric oxide normal,3,1.0,,1.0,0.0,,0.0
Investigations,Respiratory and pulmonary function diagnostic procedures,Maximal voluntary ventilation,3,2.0,1.0,2.0,0.0,0.0,0.0
Investigations,Respiratory and pulmonary function diagnostic procedures,Peak expiratory flow rate,3,1.0,,2.0,0.0,,0.0
Investigations,Respiratory and pulmonary function diagnostic procedures,Peak expiratory flow rate abnormal,3,1.0,,,0.0,,
Investigations,Respiratory and pulmonary function diagnostic procedures,Peak expiratory flow rate decreased,3,7.0,,7.0,0.0,,0.0
Investigations,Respiratory and pulmonary function diagnostic procedures,Pulmonary function test,3,5.0,,3.0,0.0,,0.0
Investigations,Respiratory and pulmonary function diagnostic procedures,Pulmonary function test decreased,3,7.0,1.0,,0.0,0.0,
Investigations,Respiratory and pulmonary function diagnostic procedures,Slow vital capacity,3,1.0,,,0.0,,
Investigations,Respiratory and pulmonary function diagnostic procedures,Spirometry abnormal,3,,,1.0,,,0.0
Investigations,Respiratory and pulmonary function diagnostic procedures,Total lung capacity decreased,3,6.0,,4.0,0.0,,0.0
Investigations,Respiratory and pulmonary function diagnostic procedures,Vital capacity,3,,,1.0,,,0.0
Investigations,Respiratory tract and thoracic histopathology procedures,Sputum abnormal,3,3.0,1.0,3.0,0.0,0.0,0.0
Investigations,Respiratory tract and thoracic imaging procedures,Chest X-ray,3,21.0,,19.0,0.0,,0.0
Investigations,Respiratory tract and thoracic imaging procedures,Chest X-ray abnormal,3,,,1.0,,,0.0
Investigations,Respiratory tract and thoracic imaging procedures,Chest X-ray normal,3,,,2.0,,,0.0
Investigations,Respiratory tract and thoracic imaging procedures,Chest scan,3,,,2.0,,,0.0
Investigations,Respiratory tract and thoracic imaging procedures,Computerised tomogram thorax,3,4.0,,2.0,0.0,,0.0
Investigations,Respiratory tract and thoracic imaging procedures,Laryngoscopy,3,1.0,,,0.0,,
Investigations,Respiratory tract and thoracic imaging procedures,Ventilation/perfusion scan,3,1.0,,2.0,0.0,,0.0
Investigations,Skeletal and cardiac muscle analyses,Blood creatine phosphokinase increased,3,8.0,2.0,12.0,0.0,0.0,0.0
Investigations,Skeletal and cardiac muscle analyses,Muscle enzyme,3,,,1.0,,,0.0
Investigations,Skeletal and cardiac muscle analyses,Muscle enzyme increased,3,1.0,,,0.0,,
Investigations,Skeletal and cardiac muscle analyses,Myocardial necrosis marker,3,1.0,,1.0,0.0,,0.0
Investigations,Skeletal and cardiac muscle analyses,Myocardial necrosis marker increased,3,1.0,1.0,3.0,0.0,0.0,0.0
Investigations,Skeletal and cardiac muscle analyses,Troponin,3,2.0,,,0.0,,
Investigations,Skeletal and cardiac muscle analyses,Troponin I increased,3,3.0,1.0,2.0,0.0,0.0,0.0
Investigations,Skeletal and cardiac muscle analyses,Troponin T,3,1.0,,,0.0,,
Investigations,Skeletal and cardiac muscle analyses,Troponin T increased,3,1.0,1.0,2.0,0.0,0.0,0.0
Investigations,Skeletal and cardiac muscle analyses,Troponin abnormal,3,,,1.0,,,0.0
Investigations,Skeletal and cardiac muscle analyses,Troponin increased,3,21.0,5.0,32.0,0.0,0.0,0.0
Investigations,Skin histopathology and skin investigations NEC,Biopsy skin,3,2.0,,,0.0,,
Investigations,Special sense investigations NEC,Olfactory test,3,1.0,,,0.0,,
Investigations,Therapeutic drug monitoring analyses,Analgesic drug level,3,17.0,5.0,9.0,0.0,0.0,0.0
Investigations,Therapeutic drug monitoring analyses,Analgesic drug level increased,3,1.0,,,0.0,,
Investigations,Therapeutic drug monitoring analyses,Analgesic drug level therapeutic,3,1.0,,,0.0,,
Investigations,Therapeutic drug monitoring analyses,Anticoagulation drug level above therapeutic,3,3.0,,1.0,0.0,,0.0
Investigations,Therapeutic drug monitoring analyses,Anticoagulation drug level below therapeutic,3,4.0,,5.0,0.0,,0.0
Investigations,Therapeutic drug monitoring analyses,Anticoagulation drug level increased,3,1.0,,,0.0,,
Investigations,Therapeutic drug monitoring analyses,Antidepressant drug level decreased,3,1.0,,,0.0,,
Investigations,Therapeutic drug monitoring analyses,Drug level increased,3,3.0,,,0.0,,
Investigations,Thyroid analyses,Anti-thyroid antibody,3,1.0,,1.0,0.0,,0.0
Investigations,Thyroid analyses,Thyroid function test abnormal,3,4.0,,1.0,0.0,,0.0
Investigations,Thyroid analyses,Thyroxine,3,2.0,,1.0,0.0,,0.0
Investigations,Thyroid analyses,Thyroxine abnormal,3,1.0,,,0.0,,
Investigations,Thyroid analyses,Thyroxine decreased,3,,,1.0,,,0.0
Investigations,Thyroid analyses,Thyroxine free decreased,3,1.0,,,0.0,,
Investigations,Thyroid analyses,Thyroxine free increased,3,,,2.0,,,0.0
Investigations,Thyroid analyses,Thyroxine increased,3,2.0,,,0.0,,
Investigations,Thyroid analyses,Tri-iodothyronine,3,,,1.0,,,0.0
Investigations,Thyroid analyses,Tri-iodothyronine decreased,3,7.0,1.0,5.0,0.0,0.0,0.0
Investigations,Thyroid analyses,Tri-iodothyronine free decreased,3,,,1.0,,,0.0
Investigations,Tissue enzyme analyses NEC,Blood alkaline phosphatase,3,1.0,,,0.0,,
Investigations,Tissue enzyme analyses NEC,Blood alkaline phosphatase abnormal,3,,,1.0,,,0.0
Investigations,Tissue enzyme analyses NEC,Blood alkaline phosphatase decreased,3,1.0,,,0.0,,
Investigations,Tissue enzyme analyses NEC,Blood alkaline phosphatase increased,3,3.0,1.0,6.0,0.0,0.0,0.0
Investigations,Tissue enzyme analyses NEC,Blood lactate dehydrogenase,3,1.0,,1.0,0.0,,0.0
Investigations,Tissue enzyme analyses NEC,Blood lactate dehydrogenase increased,3,1.0,1.0,1.0,0.0,0.0,0.0
Investigations,Tissue enzyme analyses NEC,Enzyme level increased,3,,,1.0,,,0.0
Investigations,Tissue enzyme analyses NEC,Lactate dehydrogenase urine increased,3,1.0,,,0.0,,
Investigations,Tissue enzyme analyses NEC,Phospholipase A2 activity increased,3,,1.0,,,0.0,
Investigations,Toxicology laboratory analyses,Blood aluminium,3,1.0,,,0.0,,
Investigations,Toxicology laboratory analyses,Blood arsenic normal,3,1.0,,,0.0,,
Investigations,Toxicology laboratory analyses,Blood caffeine decreased,3,,,1.0,,,0.0
Investigations,Toxicology laboratory analyses,Blood cannabinoids,3,1.0,,,0.0,,
Investigations,Toxicology laboratory analyses,Blood carbon monoxide increased,3,3.0,,,0.0,,
Investigations,Toxicology laboratory analyses,Blood lead,3,1.0,,1.0,0.0,,0.0
Investigations,Toxicology laboratory analyses,Drug screen positive,3,4.0,,2.0,0.0,,0.0
Investigations,Toxicology laboratory analyses,Heavy metal test,3,1.0,,,0.0,,
Investigations,Toxicology laboratory analyses,Opiates,3,,,1.0,,,0.0
Investigations,Toxicology laboratory analyses,Toxicologic test abnormal,3,,,1.0,,,0.0
Investigations,Triglyceride analyses,Blood triglycerides,3,1.0,,,0.0,,
Investigations,Triglyceride analyses,Blood triglycerides increased,3,2.0,,,0.0,,
Investigations,Urinalysis NEC,Blood urine,3,40.0,7.0,20.0,0.0,0.0,0.0
Investigations,Urinalysis NEC,Blood urine present,3,97.0,31.0,83.0,0.0,0.0,0.0
Investigations,Urinalysis NEC,Cells in urine,3,2.0,,1.0,0.0,,0.0
Investigations,Urinalysis NEC,Crystal urine,3,4.0,,,0.0,,
Investigations,Urinalysis NEC,Glucose urine,3,1.0,,,0.0,,
Investigations,Urinalysis NEC,Glucose urine present,3,,,1.0,,,0.0
Investigations,Urinalysis NEC,Haemoglobin urine,3,1.0,,,0.0,,
Investigations,Urinalysis NEC,Medication crystals in urine present,3,1.0,,,0.0,,
Investigations,Urinalysis NEC,Protein urine,3,3.0,1.0,1.0,0.0,0.0,0.0
Investigations,Urinalysis NEC,Protein urine absent,3,,,1.0,,,0.0
Investigations,Urinalysis NEC,Protein urine present,3,2.0,,1.0,0.0,,0.0
Investigations,Urinalysis NEC,Red blood cells urine,3,1.0,,1.0,0.0,,0.0
Investigations,Urinalysis NEC,Urea urine increased,3,1.0,,,0.0,,
Investigations,Urinalysis NEC,Urine analysis,3,1.0,,,0.0,,
Investigations,Urinalysis NEC,Urine analysis abnormal,3,17.0,,6.0,0.0,,0.0
Investigations,Urinalysis NEC,Urine leukocyte esterase positive,3,,,1.0,,,0.0
Investigations,Urinalysis NEC,Urine uric acid increased,3,,,1.0,,,0.0
Investigations,Urinalysis NEC,White blood cells urine,3,,,1.0,,,0.0
Investigations,Urinalysis NEC,pH urine,3,,1.0,6.0,,0.0,0.0
Investigations,Urinalysis NEC,pH urine increased,3,,,2.0,,,0.0
Investigations,Urinary tract function analyses NEC,Urine output,3,51.0,13.0,14.0,0.0,0.0,0.0
Investigations,Urinary tract function analyses NEC,Urine output decreased,3,18.0,3.0,15.0,0.0,0.0,0.0
Investigations,Urinary tract function analyses NEC,Urine output increased,3,11.0,,7.0,0.0,,0.0
Investigations,Urinary tract histopathology procedures,Biopsy kidney,3,1.0,,1.0,0.0,,0.0
Investigations,Urinary tract histopathology procedures,Urine cytology,3,,,1.0,,,0.0
Investigations,Urinary tract imaging procedures,Bladder scan,3,1.0,1.0,1.0,0.0,0.0,0.0
Investigations,Urinary tract imaging procedures,Cystoscopy,3,3.0,,2.0,0.0,,0.0
Investigations,Urinary tract imaging procedures,Ultrasound kidney,3,1.0,,,0.0,,
Investigations,Urinary tract imaging procedures,Ultrasound kidney normal,3,,,1.0,,,0.0
Investigations,Vascular auscultatory investigations,Abdominal bruit,3,1.0,,,0.0,,
Investigations,Vascular auscultatory investigations,Aortic bruit,3,1.0,,,0.0,,
Investigations,Vascular auscultatory investigations,Carotid bruit,3,1.0,,,0.0,,
Investigations,Vascular imaging procedures NEC,Arteriogram carotid,3,1.0,,,0.0,,
Investigations,Vascular imaging procedures NEC,Venogram,3,2.0,,2.0,0.0,,0.0
Investigations,Vascular tests NEC (incl blood pressure),Blood pressure abnormal,3,21.0,4.0,14.0,0.0,0.0,0.0
Investigations,Vascular tests NEC (incl blood pressure),Blood pressure decreased,3,109.0,14.0,,0.0,0.0,
Investigations,Vascular tests NEC (incl blood pressure),Blood pressure diastolic,3,1.0,,,0.0,,
Investigations,Vascular tests NEC (incl blood pressure),Blood pressure diastolic decreased,3,1.0,,,0.0,,
Investigations,Vascular tests NEC (incl blood pressure),Blood pressure diastolic increased,3,5.0,1.0,,0.0,0.0,
Investigations,Vascular tests NEC (incl blood pressure),Blood pressure difference of extremities,3,2.0,,,0.0,,
Investigations,Vascular tests NEC (incl blood pressure),Blood pressure increased,3,373.0,60.0,,0.0,0.0,
Investigations,Vascular tests NEC (incl blood pressure),Blood pressure measurement,3,121.0,12.0,,0.0,0.0,
Investigations,Vascular tests NEC (incl blood pressure),Blood pressure normal,3,6.0,1.0,,0.0,0.0,
Investigations,Vascular tests NEC (incl blood pressure),Blood pressure orthostatic decreased,3,1.0,,,0.0,,
Investigations,Vascular tests NEC (incl blood pressure),Blood pressure systolic,3,1.0,,,0.0,,
Investigations,Vascular tests NEC (incl blood pressure),Blood pressure systolic abnormal,3,1.0,,,0.0,,
Investigations,Vascular tests NEC (incl blood pressure),Blood pressure systolic increased,3,5.0,1.0,,0.0,0.0,
Investigations,Vascular tests NEC (incl blood pressure),Capillary nail refill test,3,1.0,,,0.0,,
Investigations,Vascular tests NEC (incl blood pressure),Pulmonary arterial pressure abnormal,3,1.0,,,0.0,,
Investigations,Virus identification and serology,Blood HIV RNA increased,3,1.0,,,0.0,,
Investigations,Virus identification and serology,Coronavirus test,3,43.0,5.0,11.0,0.0,0.0,0.0
Investigations,Virus identification and serology,Coronavirus test positive,3,,,4.0,,,0.0
Investigations,Virus identification and serology,Cytomegalovirus test,3,1.0,,,0.0,,
Investigations,Virus identification and serology,Cytomegalovirus test positive,3,,,1.0,,,0.0
Investigations,Virus identification and serology,Epstein-Barr virus antibody positive,3,1.0,,,0.0,,
Investigations,Virus identification and serology,HIV antibody negative,3,2.0,,,0.0,,
Investigations,Virus identification and serology,HIV antibody positive,3,,,1.0,,,0.0
Investigations,Virus identification and serology,HIV test,3,,,1.0,,,0.0
Investigations,Virus identification and serology,Hepatitis B core antibody positive,3,1.0,,,0.0,,
Investigations,Virus identification and serology,Hepatitis B surface antibody positive,3,1.0,,,0.0,,
Investigations,Virus identification and serology,Herpes virus test,3,1.0,,,0.0,,
Investigations,Virus identification and serology,Human papilloma virus test negative,3,1.0,,,0.0,,
Investigations,Virus identification and serology,Human papilloma virus test positive,3,1.0,,,0.0,,
Investigations,Virus identification and serology,Influenza A virus test,3,,1.0,,,0.0,
Investigations,Virus identification and serology,Respiratory syncytial virus test positive,3,,,1.0,,,0.0
Investigations,Virus identification and serology,SARS-CoV-1 test,3,,,1.0,,,0.0
Investigations,Virus identification and serology,SARS-CoV-1 test positive,3,1.0,,1.0,0.0,,0.0
Investigations,Virus identification and serology,SARS-CoV-2 RNA,3,1.0,1.0,,0.0,0.0,
Investigations,Virus identification and serology,SARS-CoV-2 antibody test,3,12.0,2.0,10.0,0.0,0.0,0.0
Investigations,Virus identification and serology,SARS-CoV-2 antibody test negative,3,38.0,1.0,15.0,0.0,0.0,0.0
Investigations,Virus identification and serology,SARS-CoV-2 antibody test positive,3,,2.0,6.0,,0.0,0.0
Investigations,Virus identification and serology,SARS-CoV-2 test,3,,5.0,36.0,,0.0,0.0
Investigations,Virus identification and serology,SARS-CoV-2 test false negative,3,,,2.0,,,0.0
Investigations,Virus identification and serology,SARS-CoV-2 test false positive,3,,,4.0,,,0.0
Investigations,Virus identification and serology,SARS-CoV-2 test negative,3,,4.0,10.0,,0.0,0.0
Investigations,Virus identification and serology,SARS-CoV-2 test positive,3,,9.0,112.0,,0.0,0.0
Investigations,Virus identification and serology,Viral load,3,,,2.0,,,0.0
Investigations,Virus identification and serology,Viral test,3,,,4.0,,,0.0
Investigations,Virus identification and serology,Viral test positive,3,,,1.0,,,0.0
Investigations,Vitamin analyses,Blood folate,3,3.0,,,0.0,,
Investigations,Vitamin analyses,Blood folate abnormal,3,1.0,,,0.0,,
Investigations,Vitamin analyses,Blood folate decreased,3,19.0,1.0,10.0,0.0,0.0,0.0
Investigations,Vitamin analyses,Vitamin B12,3,3.0,,2.0,0.0,,0.0
Investigations,Vitamin analyses,Vitamin B12 abnormal,3,3.0,,2.0,0.0,,0.0
Investigations,Vitamin analyses,Vitamin B12 decreased,3,8.0,,4.0,0.0,,0.0
Investigations,Vitamin analyses,Vitamin B12 increased,3,1.0,,,0.0,,
Investigations,Vitamin analyses,Vitamin D,3,4.0,,4.0,0.0,,0.0
Investigations,Vitamin analyses,Vitamin D decreased,3,7.0,1.0,7.0,0.0,0.0,0.0
Investigations,Vitamin analyses,Vitamin D increased,3,1.0,,,0.0,,
Investigations,Vitamin analyses,Vitamin E decreased,3,1.0,,,0.0,,
Investigations,Water and electrolyte analyses NEC,Blood electrolytes decreased,3,2.0,,,0.0,,
Investigations,Water and electrolyte analyses NEC,Blood osmolarity,3,1.0,,,0.0,,
Investigations,Water and electrolyte analyses NEC,Urine osmolarity,3,,,1.0,,,0.0
Investigations,Water and electrolyte analyses NEC,Volume blood,3,7.0,,1.0,0.0,,0.0
Investigations,Water and electrolyte analyses NEC,Volume blood decreased,3,,,1.0,,,0.0
Investigations,White blood cell analyses,CD4 lymphocytes decreased,3,1.0,,,0.0,,
Investigations,White blood cell analyses,Eosinophil count,3,1.0,,1.0,0.0,,0.0
Investigations,White blood cell analyses,Eosinophil count abnormal,3,2.0,,,0.0,,
Investigations,White blood cell analyses,Eosinophil count decreased,3,1.0,,1.0,0.0,,0.0
Investigations,White blood cell analyses,Eosinophil count increased,3,7.0,,3.0,0.0,,0.0
Investigations,White blood cell analyses,Lymphocyte count,3,3.0,,1.0,0.0,,0.0
Investigations,White blood cell analyses,Lymphocyte count abnormal,3,1.0,,,0.0,,
Investigations,White blood cell analyses,Lymphocyte count decreased,3,6.0,,3.0,0.0,,0.0
Investigations,White blood cell analyses,Lymphocyte count increased,3,4.0,,1.0,0.0,,0.0
Investigations,White blood cell analyses,Monocyte count increased,3,1.0,,2.0,0.0,,0.0
Investigations,White blood cell analyses,Mononuclear cell count abnormal,3,1.0,,,0.0,,
Investigations,White blood cell analyses,Natural killer cell count increased,3,1.0,,,0.0,,
Investigations,White blood cell analyses,Neutrophil count,3,4.0,1.0,4.0,0.0,0.0,0.0
Investigations,White blood cell analyses,Neutrophil count abnormal,3,1.0,,,0.0,,
Investigations,White blood cell analyses,Neutrophil count decreased,3,22.0,1.0,,0.0,0.0,
Investigations,White blood cell analyses,Neutrophil count increased,3,1.0,,,0.0,,
Investigations,White blood cell analyses,Neutrophil toxic granulation present,3,1.0,,,0.0,,
Investigations,White blood cell analyses,White blood cell count,3,21.0,1.0,,0.0,0.0,
Investigations,White blood cell analyses,White blood cell count decreased,3,38.0,1.0,,0.0,0.0,
Investigations,White blood cell analyses,White blood cell count increased,3,14.0,3.0,,0.0,0.0,
Investigations,White blood cell analyses,White blood cell count normal,3,1.0,,,0.0,,
Metabolic disorders,Appetite disorders,Appetite disorder,3,38.0,3.0,24.0,0.0,0.0,0.0
Metabolic disorders,Appetite disorders,Decreased appetite,3,6514.0,542.0,1612.0,0.0,0.0,0.0
Metabolic disorders,Appetite disorders,Diet refusal,3,2.0,,1.0,0.0,,0.0
Metabolic disorders,Appetite disorders,Eating disorder symptom,3,1.0,1.0,4.0,0.0,0.0,0.0
Metabolic disorders,Appetite disorders,Food craving,3,26.0,2.0,14.0,0.0,0.0,0.0
Metabolic disorders,Appetite disorders,Food refusal,3,44.0,6.0,16.0,0.0,0.0,0.0
Metabolic disorders,Appetite disorders,Hyperphagia,3,10.0,5.0,15.0,0.0,0.0,0.0
Metabolic disorders,Appetite disorders,Hypophagia,3,41.0,4.0,21.0,0.0,0.0,0.0
Metabolic disorders,Appetite disorders,Increased appetite,3,62.0,9.0,38.0,0.0,0.0,0.0
Metabolic disorders,Appetite disorders,Salt craving,3,4.0,1.0,2.0,0.0,0.0,0.0
Metabolic disorders,Calcium metabolism disorders,Hypercalcaemia,3,2.0,,1.0,0.0,,0.0
Metabolic disorders,Calcium metabolism disorders,Hypocalcaemia,3,8.0,,3.0,0.0,,0.0
Metabolic disorders,Calcium metabolism disorders,Tetany,3,1.0,,5.0,0.0,,0.0
Metabolic disorders,Copper metabolism disorders,Copper deficiency,3,1.0,1.0,1.0,0.0,0.0,0.0
Metabolic disorders,Diabetes mellitus (incl subtypes),Diabetes mellitus,3,124.0,7.0,71.0,0.0,0.0,0.0
Metabolic disorders,Diabetes mellitus (incl subtypes),Diabetes mellitus inadequate control,3,29.0,4.0,18.0,0.0,0.0,1.0
Metabolic disorders,Diabetes mellitus (incl subtypes),Fulminant type 1 diabetes mellitus,3,1.0,,1.0,0.0,,0.0
Metabolic disorders,Diabetes mellitus (incl subtypes),Increased insulin requirement,3,1.0,,2.0,0.0,,0.0
Metabolic disorders,Diabetes mellitus (incl subtypes),Insulin resistant diabetes,3,1.0,,2.0,0.0,,0.0
Metabolic disorders,Diabetes mellitus (incl subtypes),Latent autoimmune diabetes in adults,3,,,2.0,,,0.0
Metabolic disorders,Diabetes mellitus (incl subtypes),Steroid diabetes,3,1.0,,,0.0,,
Metabolic disorders,Diabetes mellitus (incl subtypes),Type 1 diabetes mellitus,3,26.0,2.0,18.0,0.0,0.0,0.0
Metabolic disorders,Diabetes mellitus (incl subtypes),Type 2 diabetes mellitus,3,7.0,1.0,7.0,0.0,0.0,0.0
Metabolic disorders,Diabetic complications NEC,Diabetic complication,3,1.0,,2.0,0.0,,0.0
Metabolic disorders,Diabetic complications NEC,Diabetic ketoacidosis,3,42.0,2.0,12.0,2.0,0.0,0.0
Metabolic disorders,Diabetic complications NEC,Diabetic ketosis,3,5.0,,1.0,0.0,,0.0
Metabolic disorders,Diabetic complications NEC,Euglycaemic diabetic ketoacidosis,3,1.0,,,0.0,,
Metabolic disorders,Diabetic complications neurological,Hyperglycaemic hyperosmolar nonketotic syndrome,3,2.0,,,0.0,,
Metabolic disorders,Disorders of purine metabolism,Gout,3,194.0,29.0,115.0,0.0,0.0,0.0
Metabolic disorders,Electrolyte imbalance NEC,Electrolyte imbalance,3,4.0,,1.0,0.0,,0.0
Metabolic disorders,Electrolyte imbalance NEC,Fluid imbalance,3,1.0,,2.0,0.0,,0.0
Metabolic disorders,Electrolyte imbalance NEC,Hyperosmolar state,3,1.0,,,0.0,,
Metabolic disorders,Electrolyte imbalance NEC,Tumour lysis syndrome,3,,,1.0,,,0.0
Metabolic disorders,Elevated cholesterol,Hypercholesterolaemia,3,1.0,,2.0,0.0,,0.0
Metabolic disorders,Fat soluble vitamin deficiencies and disorders,Vitamin D deficiency,3,22.0,1.0,12.0,0.0,0.0,0.0
Metabolic disorders,Fluid intake decreased,Fluid intake reduced,3,11.0,2.0,2.0,0.0,0.0,0.0
Metabolic disorders,Fluid intake increased,Polydipsia,3,17.0,1.0,7.0,0.0,0.0,0.0
Metabolic disorders,Food malabsorption and intolerance syndromes (excl sugar intolerance),Alcohol intolerance,3,15.0,2.0,10.0,0.0,0.0,0.0
Metabolic disorders,Food malabsorption and intolerance syndromes (excl sugar intolerance),Breast milk substitute intolerance,3,,,1.0,,,0.0
Metabolic disorders,Food malabsorption and intolerance syndromes (excl sugar intolerance),Dairy intolerance,3,6.0,,4.0,0.0,,0.0
Metabolic disorders,Food malabsorption and intolerance syndromes (excl sugar intolerance),Food intolerance,3,28.0,3.0,27.0,0.0,0.0,0.0
Metabolic disorders,Food malabsorption and intolerance syndromes (excl sugar intolerance),Gluten sensitivity,3,6.0,1.0,7.0,0.0,0.0,0.0
Metabolic disorders,Food malabsorption and intolerance syndromes (excl sugar intolerance),Histamine intolerance,3,5.0,2.0,7.0,0.0,0.0,0.0
Metabolic disorders,General nutritional disorders NEC,Abnormal loss of weight,3,93.0,6.0,49.0,0.0,0.0,0.0
Metabolic disorders,General nutritional disorders NEC,Abnormal weight gain,3,42.0,9.0,,0.0,0.0,
Metabolic disorders,General nutritional disorders NEC,Cachexia,3,2.0,,,0.0,,
Metabolic disorders,General nutritional disorders NEC,Feeding disorder,3,220.0,72.0,,0.0,0.0,
Metabolic disorders,General nutritional disorders NEC,Food aversion,3,57.0,6.0,,0.0,0.0,
Metabolic disorders,General nutritional disorders NEC,Malnutrition,3,1.0,,,0.0,,
Metabolic disorders,General nutritional disorders NEC,Neonatal insufficient breast milk syndrome,3,4.0,4.0,,0.0,0.0,
Metabolic disorders,General nutritional disorders NEC,Obesity,3,2.0,,,0.0,,
Metabolic disorders,General nutritional disorders NEC,Overfeeding of infant,3,1.0,,,0.0,,
Metabolic disorders,General nutritional disorders NEC,Overweight,3,2.0,1.0,,0.0,0.0,
Metabolic disorders,General nutritional disorders NEC,Poor feeding infant,3,17.0,1.0,,0.0,0.0,
Metabolic disorders,General nutritional disorders NEC,Protein deficiency,3,1.0,,,0.0,,
Metabolic disorders,General nutritional disorders NEC,Starvation,3,1.0,,,0.0,,
Metabolic disorders,General nutritional disorders NEC,Underweight,3,2.0,,,0.0,,
Metabolic disorders,General nutritional disorders NEC,Weight gain poor,3,1.0,,,0.0,,
Metabolic disorders,General nutritional disorders NEC,Weight loss poor,3,4.0,1.0,,0.0,0.0,
Metabolic disorders,Hyperglycaemic conditions NEC,Glucose tolerance impaired,3,5.0,,2.0,0.0,,0.0
Metabolic disorders,Hyperglycaemic conditions NEC,Hyperglycaemia,3,137.0,12.0,71.0,0.0,0.0,0.0
Metabolic disorders,Hyperglycaemic conditions NEC,Insulin resistance,3,10.0,2.0,6.0,0.0,0.0,0.0
Metabolic disorders,Hyperglycaemic conditions NEC,Metabolic syndrome,3,1.0,,,0.0,,
Metabolic disorders,Hyperlipidaemias NEC,Hyperlipidaemia,3,4.0,,1.0,0.0,,0.0
Metabolic disorders,Hypoglycaemic conditions NEC,Glycopenia,3,,,1.0,,,0.0
Metabolic disorders,Hypoglycaemic conditions NEC,Hyperinsulinaemic hypoglycaemia,3,1.0,,,0.0,,
Metabolic disorders,Hypoglycaemic conditions NEC,Hypoglycaemia,3,109.0,15.0,86.0,0.0,0.0,0.0
Metabolic disorders,Hypoglycaemic conditions NEC,Hypoglycaemia unawareness,3,2.0,,1.0,0.0,,0.0
Metabolic disorders,Hypoglycaemic conditions NEC,Postprandial hypoglycaemia,3,3.0,,3.0,0.0,,0.0
Metabolic disorders,Iron deficiencies,Iron deficiency,3,19.0,,14.0,0.0,,0.0
Metabolic disorders,Iron excess,Haemochromatosis,3,2.0,1.0,3.0,0.0,0.0,0.0
Metabolic disorders,Iron excess,Iron overload,3,1.0,,1.0,0.0,,0.0
Metabolic disorders,Lipid metabolism and deposit disorders NEC,Body fat disorder,3,,,1.0,,,0.0
Metabolic disorders,Lipid metabolism and deposit disorders NEC,Lipoedema,3,1.0,,,0.0,,
Metabolic disorders,Magnesium metabolism disorders,Hypomagnesaemia,3,1.0,1.0,2.0,0.0,0.0,0.0
Metabolic disorders,Magnesium metabolism disorders,Magnesium deficiency,3,,,1.0,,,0.0
Metabolic disorders,Metabolic acidoses (excl diabetic acidoses),Hyperlactacidaemia,3,2.0,,,0.0,,
Metabolic disorders,Metabolic acidoses (excl diabetic acidoses),Ketoacidosis,3,1.0,,8.0,0.0,,1.0
Metabolic disorders,Metabolic acidoses (excl diabetic acidoses),Ketosis,3,6.0,,,0.0,,
Metabolic disorders,Metabolic acidoses (excl diabetic acidoses),Lactic acidosis,3,3.0,,3.0,0.0,,0.0
Metabolic disorders,Metabolic acidoses (excl diabetic acidoses),Metabolic acidosis,3,13.0,,5.0,0.0,,0.0
Metabolic disorders,Metabolic disorders Metabolic disorders cont'd,Abnormal weight gain,3,,,23.0,,,0.0
Metabolic disorders,Metabolic disorders Metabolic disorders cont'd,Cachexia,3,,,1.0,,,0.0
Metabolic disorders,Metabolic disorders Metabolic disorders cont'd,Feeding disorder,3,,,114.0,,,0.0
Metabolic disorders,Metabolic disorders Metabolic disorders cont'd,Food aversion,3,,,15.0,,,0.0
Metabolic disorders,Metabolic disorders Metabolic disorders cont'd,Malnutrition,3,,,3.0,,,0.0
Metabolic disorders,Metabolic disorders Metabolic disorders cont'd,Neonatal insufficient breast milk syndrome,3,,,7.0,,,0.0
Metabolic disorders,Metabolic disorders Metabolic disorders cont'd,Obesity,3,,,2.0,,,0.0
Metabolic disorders,Metabolic disorders Metabolic disorders cont'd,Overweight,3,,,1.0,,,0.0
Metabolic disorders,Metabolic disorders Metabolic disorders cont'd,Poor feeding infant,3,,,17.0,,,0.0
Metabolic disorders,Metabolic disorders Metabolic disorders cont'd,Weight loss poor,3,,,3.0,,,0.0
Metabolic disorders,Metabolic disorders NEC,Hypercarotinaemia,3,,,1.0,,,0.0
Metabolic disorders,Metabolic disorders NEC,Hypercatabolism,3,,,1.0,,,0.0
Metabolic disorders,Metabolic disorders NEC,Hypometabolism,3,1.0,,1.0,0.0,,0.0
Metabolic disorders,Metabolic disorders NEC,Metabolic disorder,3,2.0,,1.0,0.0,,0.0
